s0,2298693.437198333

t,drsu,drsd,frsd,frsu,s,lr,lc,lfw,mass_cs,mass_hs,mdot_c,mdot_r_cs,m_dot_hs,T_cout,T_cs,T_hs,T_rout,ucsu,ursu,ursd,wdot,wdot_delta_plus,w_dot_delta_minus,wdot_v_plus,wdot_v_minus,wdot_s,wdot_p,x,xr,yr,yrhsp,yrsb,yrsd,yrsdp,yrsu,yrsup,y,ychsp,ycsb,ycsd,ycsdp,ycsu,ycsup,ycgb,ygce
1,0.083333333,0.0,0.0,1.0,2292606.7,,,,,,,,,,,,,0.0,,324.15,0.0,23094.992,1401.0917,0.0,0.0,0.0,8435.7433,0.0,73040.31,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,1.0,2286516.7,,,,,,,,,,,,,0.0,,0.0,0.0,23094.992,0.0,0.0,0.0,0.0,8397.8754,0.0,73080.749,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,1.0,2280423.2,,,,,,,,,,,,,0.0,,0.0,0.0,23094.992,0.0,0.0,0.0,0.0,8360.0076,0.0,73121.256,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,2274326.4,,,,,,,,,,,,,0.0,,0.0,0.0,23094.992,0.0,0.0,0.0,0.0,11534.686,0.0,73161.831,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,2268226.2,,,,,,,,,,,,,0.0,,0.0,0.0,23094.992,0.0,0.0,0.0,0.0,11533.953,0.0,73202.473,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,23094.992,0.0,0.0,0.0,0.0,11533.217,0.0,73243.184,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,23094.992,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,2262122.6,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
25,0.75,0.0,0.0,0.75,2297013.4,,,,,,,,,,,,,0.0,,139563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12738.984,0.0,34890.75,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,2424946.1,,,,,,,,,,,,,104672.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9875.6804,0.0,139563.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
27,0.0,0.0,0.0,0.0,2552878.9,,,,,,,,,,,,,116302.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9875.6804,0.0,139563.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
28,0.0,0.0,0.0,0.0,2713285.3,,,,,,,,,,,,,127932.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10185.712,0.0,172036.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
29,0.0,0.5,0.5,0.0,2791260.0,,,,,,,,,,,,,139563.0,,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,9398.7221,0.0,89605.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
30,0.0,0.0,0.0,0.0,2652634.8,,,,,,,,,,,,,0.0,,0.0,0.0,54405.491,54405.491,0.0,0.0,0.0,50000.0,0.0,138625.23,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
31,0.0,0.0,0.0,0.0,2392733.9,,,,,,,,,,,,,0.0,,0.0,0.0,111366.89,56961.395,0.0,0.0,0.0,104929.45,0.0,259900.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,2133244.1,,,,,,,,,,,,,0.0,,0.0,0.0,111414.57,47.684511,0.0,0.0,0.0,104992.74,0.0,259489.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,1874120.2,,,,,,,,,,,,,0.0,,0.0,0.0,111414.57,0.0,0.0,0.0,0.0,105000.0,0.0,259123.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,1616537.3,,,,,,,,,,,,,0.0,,0.0,0.0,111384.02,0.0,30.553513,0.0,0.0,105000.0,0.0,257582.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,1358234.4,,,,,,,,,,,,,0.0,,0.0,0.0,111384.02,0.0,0.0,0.0,0.0,104985.72,0.0,258302.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,1100275.2,,,,,,,,,,,,,0.0,,0.0,0.0,111384.02,0.0,-2.4389767e-11,0.0,0.0,104992.54,0.0,257959.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,842729.66,,,,,,,,,,,,,0.0,,0.0,0.0,111301.11,0.0,82.907897,0.0,0.0,105000.0,0.0,257545.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,606242.15,,,,,,,,,,,,,0.0,,0.0,0.0,100829.32,0.0,10471.791,0.0,0.0,95016.467,0.0,236487.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,370074.98,,,,,,,,,,,,,0.0,,0.0,0.0,100829.32,0.0,0.0,0.0,0.0,95000.0,0.0,236167.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,253360.0,,,,,,,,,,,,,0.0,,0.0,0.0,43410.866,0.0,57418.452,0.0,0.0,40000.0,0.0,116714.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,253360.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,43410.866,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,253360.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,253360.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,253360.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
45,0.75,0.0,0.0,1.0,253360.0,,,,,,,,,,,,,0.0,,50532.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9898.4422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
46,0.75,0.0,0.0,0.29332503,456221.15,,,,,,,,,,,,,104672.25,,139563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11755.027,0.0,214491.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
47,0.0,0.0,0.0,0.0,746515.9,,,,,,,,,,,,,116302.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11425.781,0.0,301925.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
48,0.0,0.0,0.0,0.0,1190370.7,,,,,,,,,,,,,127932.75,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12891.846,0.0,455485.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
49,0.0,0.0,0.0,0.0,1555110.4,,,,,,,,,,,,,139563.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12136.521,0.0,376370.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
50,0.0,0.0,0.0,0.0,1691765.4,,,,,,,,,,,,,0.0,,0.0,0.0,112344.84,112344.84,0.0,0.0,0.0,102343.33,0.0,259682.98,396338.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
51,0.0,0.0,0.0,0.0,1835474.5,,,,,,,,,,,,,0.0,,0.0,-5.7067745e-12,112344.84,0.0,0.0,0.0,0.0,102241.36,0.0,259900.9,403610.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,1912286.6,,,,,,,,,,,,,0.0,,0.0,0.0,112604.28,259.43616,0.0,0.0,0.0,103000.85,0.0,259900.9,336713.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,0.0,0.5,1.0,0.0,1652536.2,,,,,,,,,,,,,0.0,,0.0,50000.0,112604.28,0.0,0.0,0.0,0.0,105469.55,0.0,259750.38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,1392635.3,,,,,,,,,,,,,0.0,,0.0,0.0,112510.61,0.0,93.663896,0.0,0.0,105362.54,0.0,259900.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,1132734.4,,,,,,,,,,,,,0.0,,0.0,0.0,112102.85,0.0,407.75871,0.0,0.0,105422.58,0.0,259900.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,872833.54,,,,,,,,,,,,,0.0,,0.0,0.0,111504.94,0.0,597.90925,0.0,0.0,105066.75,0.0,259900.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,612932.64,,,,,,,,,,,,,0.0,,0.0,0.0,112021.25,516.30619,0.0,0.0,0.0,105590.75,0.0,259900.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,354007.73,,,,,,,,,,,,,0.0,,0.0,0.0,112021.25,0.0,0.0,0.0,0.0,105610.08,0.0,258924.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,106317.12,,,,,,,,,,,,,0.0,,0.0,0.0,106853.66,0.0,5167.5929,0.0,0.0,100669.58,0.0,247690.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,38979.857,0.0,67873.8,0.0,0.0,35692.661,0.0,106317.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,38979.857,0.0,0.0,0.0,2852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2852.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
